Próg;TP;FN;TN;FP
0,025;183;17;0;200
0,05;183;17;0;200
0,075;183;17;1;199
0,1;183;17;1;199
0,125;183;17;1;199
0,15;183;17;1;199
0,175;183;17;2;198
0,2;182;18;2;198
0,225;181;19;2;198
0,25;181;19;2;198
0,275;181;19;2;198
0,3;181;19;4;196
0,325;181;19;4;196
0,35;181;19;4;196
0,375;181;19;4;196
0,4;181;19;4;196
0,425;180;20;4;196
0,45;179;21;4;196
0,475;178;22;4;196
0,5;177;23;4;196
0,525;177;23;4;196
0,55;176;24;4;196
0,575;176;24;4;196
0,6;175;25;4;196
0,625;174;26;5;195
0,65;172;28;5;195
0,675;169;31;6;194
0,7;168;32;6;194
0,725;166;34;6;194
0,75;164;36;8;192
0,775;161;39;12;188
0,8;159;41;19;181
0,825;153;47;22;178
0,85;144;56;33;167
0,875;139;61;50;150
0,9;123;77;85;115
0,925;97;103;124;76
0,95;50;150;159;41
0,975;11;189;188;12
1;0;200;200;0
