 Tz0 [ms];Tz1 [ms];Tz2 [ms];Tz3 [ms];Tz4 [ms];Tz5 [ms];Tz6 [ms];Tz7 [ms];;
72;151;64;64;168;112;137;167;;
64;208;87;56;168;80;185;175;;
63;216;72;56;168;104;176;176;;
87;240;64;48;177;79;168;152;;
55;192;88;56;176;120;168;160;;
71;200;88;48;184;112;168;160;;
71;160;80;56;184;88;216;185;;
72;160;80;56;184;120;168;144;;
80;192;104;32;208;88;192;176;;
55;200;80;64;168;96;176;152;;
47;232;105;55;152;136;160;176;;
95;432;97;63;168;113;199;208;;
71;176;80;48;184;96;184;176;;
55;129;111;48;208;97;423;216;;
79;104;112;56;184;128;200;201;;
63;176;120;56;176;128;272;200;;
63;192;80;32;192;112;192;209;;
63;128;120;56;176;96;240;192;;
64;151;128;56;192;240;177;167;;
71;120;128;24;208;72;168;144;;
55;144;113;55;201;95;192;168;;
71;128;192;64;200;112;178;158;;
87;112;104;64;168;136;184;169;;
80;112;120;64;184;104;184;160;;
63;184;81;56;175;104;176;168;;
80;167;88;56;168;104;168;152;;
71;216;120;48;177;104;159;160;;
64;128;112;56;176;88;352;184;;
87;136;104;64;177;327;288;136;167;153
80;128;103;64;192;104;176;384;;
79;168;64;72;200;128;184;192;;
87;216;81;55;184;80;177;143;;
87;208;72;64;185;303;184;160;;
71;192;112;64;192;128;192;224;;
63;144;112;64;176;121;183;160;;
79;168;80;64;200;96;176;168;;
71;168;120;56;184;112;192;160;;
79;128;104;64;192;137;176;159;;
81;183;80;64;192;120;184;152;;
72;159;80;72;168;80;160;144;;
71;224;72;56;184;89;191;176;;
79;176;88;56;176;112;168;144;;
72;111;104;64;175;97;184;160;;
63;112;88;72;168;104;168;160;;
80;151;96;56;176;88;176;184;;
71;152;104;72;176;88;200;184;;
88;151;96;64;168;81;159;160;;
63;160;104;48;176;96;160;160;;
64;151;96;56;176;104;240;168;;
47;192;112;64;176;136;176;152;;
79;184;88;57;191;96;184;184;;
